id,label,categoryName,parent_id,degree,depth
1334134_9799587_8374569,Arts, Crafts & Sewing>Cricut>Cricut Materials,Cricut Materials,1334134_9799587,0.0,3
1334134_9799587_8544588,Arts Crafts & Sewing>Cricut>Cricut Tools,Cricut Tools,1334134_9799587,0.0,3
1334134_6829452,Arts Crafts & Sewing>David Textiles,David Textiles,1334134,5.0,2
1334134_6829452_4715618,Arts, Crafts & Sewing>David Textiles>All David Textiles Fabric,All David Textiles Fabric,1334134_6829452,0.0,3
1334134_6829452_9819359,Arts Crafts & Sewing>David Textiles>David Textile Holiday Prints By the Yard,David Textile Holiday Prints By the Yard,1334134_6829452,0.0,3
1334134_6829452_2404173,Arts, Crafts & Sewing>David Textiles>David Textile Pre-cut Holiday Prints,David Textile Pre-cut Holiday Prints,1334134_6829452,0.0,3
1334134_6829452_9105702,Arts, Crafts & Sewing>David Textiles>David Textiles Apparel Fabric,David Textiles Apparel Fabric,1334134_6829452,0.0,3
1334134_6829452_6318187,Arts, Crafts & Sewing>David Textiles>David Textiles Solid Fleece Fabric,David Textiles Solid Fleece Fabric,1334134_6829452,0.0,3
1334134_3123463,Arts, Crafts & Sewing>Die Cutting,Die Cutting,1334134,6.0,2
1334134_3123463_1745001,Arts, Crafts & Sewing>Die Cutting>Adhesive & Iron-On Vinyl,Adhesive & Iron-On Vinyl,1334134_3123463,0.0,3
1334134_3123463_3276179,Arts, Crafts & Sewing>Die Cutting>Die Cut Machines,Die Cut Machines,1334134_3123463,0.0,3
1334134_3123463_5444219,Arts Crafts & Sewing>Die Cutting>Die Cuts & Cartridges,Die Cuts & Cartridges,1334134_3123463,0.0,3
1334134_3123463_2762328,Arts, Crafts & Sewing>Die Cutting>Die Cutting Tools & Accessories,Die Cutting Tools & Accessories,1334134_3123463,0.0,3
1334134_3123463_2217520,Arts, Crafts & Sewing>Die Cutting>Die-Cut Dies,Die-Cut Dies,1334134_3123463,0.0,3
1334134_3123463_7533213,Arts, Crafts & Sewing>Die Cutting>Die-Cut Plates,Die-Cut Plates,1334134_3123463,0.0,3
1334134_5854524,Arts, Crafts & Sewing>DIY Wedding,DIY Wedding,1334134,8.0,2
1334134_5854524_8709957,Arts, Crafts & Sewing>DIY Wedding>Artificial Floral Arrangements,Artificial Floral Arrangements,1334134_5854524,0.0,3
1334134_5854524_1651928,Arts Crafts & Sewing>DIY Wedding>DIY Party Favor Jars,DIY Party Favor Jars,1334134_5854524,0.0,3
1334134_5854524_3100109,Arts, Crafts & Sewing>DIY Wedding>DIY Party Favors,DIY Party Favors,1334134_5854524,0.0,3
1334134_5854524_2471059,Arts, Crafts & Sewing>DIY Wedding>DIY Wedding Invitations,DIY Wedding Invitations,1334134_5854524,0.0,3
1334134_5854524_3967451,Arts, Crafts & Sewing>DIY Wedding>Guest Books & Keepsakes,Guest Books & Keepsakes,1334134_5854524,0.0,3
1334134_5854524_6117181,Arts, Crafts & Sewing>DIY Wedding>Party Favor Gift Bags and Boxes,Party Favor Gift Bags and Boxes,1334134_5854524,0.0,3
1334134_5854524_9696787,Arts Crafts & Sewing>DIY Wedding>Ribbons & Fabric,Ribbons & Fabric,1334134_5854524,0.0,3
1334134_5854524_1943857,Arts, Crafts & Sewing>DIY Wedding>Wedding Food Display,Wedding Food Display,1334134_5854524,0.0,3
1334134_8883644,Arts, Crafts & Sewing>Elmer's,Elmer's,1334134,15.0,2
1334134_8883644_1275382,Arts, Crafts & Sewing>Elmer's>Elmer's Art Supplies,Elmer's Art Supplies,1334134_8883644,0.0,3
1334134_8883644_7251111,Arts, Crafts & Sewing>Elmer's>Elmer's Craft Glue & Tape,Elmer's Craft Glue & Tape,1334134_8883644,0.0,3
1334134_8883644_3890273,Arts, Crafts & Sewing>Elmer's>Elmer's Display Boards,Elmer's Display Boards,1334134_8883644,0.0,3
1334134_8883644_2725406,Arts, Crafts & Sewing>Elmer's>Elmer's Gallon Glue,Elmer's Gallon Glue,1334134_8883644,0.0,3
1334134_8883644_5482571,Arts, Crafts & Sewing>Elmer's>Elmer's Glitter Glue & Glitter Pens,Elmer's Glitter Glue & Glitter Pens,1334134_8883644,0.0,3
1334134_8883644_1378181,Arts Crafts & Sewing>Elmer's>Elmer's Glue Sticks,Elmer's Glue Sticks,1334134_8883644,0.0,3
1334134_8883644_8801209,Arts, Crafts & Sewing>Elmer's>Elmer's Repair Glue,Elmer's Repair Glue,1334134_8883644,0.0,3
1334134_8883644_9677515,Arts Crafts & Sewing>Elmer's>Elmer's School Glue,Elmer's School Glue,1334134_8883644,0.0,3
1334134_8883644_4514580,Arts, Crafts & Sewing>Elmer's>Elmer's School Supplies,Elmer's School Supplies,1334134_8883644,0.0,3
1334134_8883644_6007016,Arts, Crafts & Sewing>Elmer's>Elmer's Slime,Elmer's Slime,1334134_8883644,0.0,3
1334134_8883644_1533496,Arts, Crafts & Sewing>Elmer's>Elmer's Slime Supplies,Elmer's Slime Supplies,1334134_8883644,0.0,3
1334134_8883644_8459124,Arts, Crafts & Sewing>Elmer's>Elmer's Washable Glue,Elmer's Washable Glue,1334134_8883644,0.0,3
1334134_8883644_9176731,Arts, Crafts & Sewing>Elmer's>Elmer's Wood Filler,Elmer's Wood Filler,1334134_8883644,0.0,3
1334134_8883644_5079702,Arts, Crafts & Sewing>Elmer's>Krazy Glue,Krazy Glue,1334134_8883644,0.0,3
1334134_8883644_5067702,Arts, Crafts & Sewing>Elmer's>X-Acto,X-Acto,1334134_8883644,0.0,3
1334134_4232946,Arts, Crafts & Sewing>Fabric,Fabric,1334134,8.0,2
1334134_4232946_1085270,Arts Crafts & Sewing>Fabric>All Fabric,All Fabric,1334134_4232946,0.0,3
1334134_4232946_4841276,Arts, Crafts & Sewing>Fabric>Holiday & Special Occasion Fabric,Holiday & Special Occasion Fabric,1334134_4232946,0.0,3
